step,loss
8780,5.33590000
8790,5.66210000
8800,5.56090000
8810,4.99750000
8820,6.98860000
8830,4.80680000
8840,7.01110000
8850,5.20730000
8860,7.47500000
8870,5.27710000
8880,5.88900000
8890,5.54930000
8900,5.68020000
8910,5.77810000
8920,6.65310000
8930,6.05860000
8940,6.05400000
8950,5.73970000
8960,6.78690000
8970,5.61630000
8980,5.32470000
8990,6.00250000
9000,5.08360000
9010,7.36950000
9020,6.09670000
9030,5.93860000
9040,5.47130000
9050,6.31950000
9060,5.11390000
9070,5.77700000
9080,5.96930000
9090,6.88640000
9100,6.80560000
9110,5.60500000
9120,5.51200000
9130,5.42340000
9140,4.47730000
9150,7.88700000
9160,6.90820000
9170,5.03400000
9180,6.19200000
9190,5.23930000
9200,6.04230000
9210,4.66730000
9220,5.72980000
9230,5.16910000
9240,7.26260000
9250,5.92110000
9260,4.47280000
9270,5.04750000
9280,5.88010000
9290,5.16960000
9300,6.39790000
9310,5.26380000
9320,6.82770000
9330,4.62620000
9340,6.66700000
9350,6.01540000
9360,5.64010000
9370,5.09200000
9380,5.00220000
9390,6.67780000
9400,5.94830000
9410,5.68450000
9420,6.01620000
9430,6.24460000
9440,6.18690000
9450,5.44520000
9460,6.11260000
9470,5.89980000
9480,4.22130000
9490,5.92650000
9500,5.45720000
9510,5.13330000
9520,4.78000000
9530,3.87470000
9540,6.10720000
9550,6.02250000
9560,4.96160000
9570,5.64320000
9580,5.36170000
9590,6.46540000
9600,6.93390000
9610,5.21320000
9620,5.94780000
9630,4.83210000
9640,6.52720000
9650,5.94040000
9660,4.85680000
9670,5.02810000
9680,6.43860000
9690,6.17090000
9700,7.00300000
9710,6.16920000
9720,5.14330000
9730,5.29450000
9740,5.12460000
9750,5.24900000
9760,7.47220000
9770,5.39070000
9780,4.83610000
9790,6.94110000
9800,6.45080000
9810,5.40650000
9820,5.89140000
9830,6.78590000
9840,5.19330000
9850,5.19210000
9860,5.07370000
9870,6.09590000
9880,4.73600000
9890,5.24300000
9900,6.31900000
9910,4.71900000
9920,5.62890000
9930,5.69650000
9940,6.18060000
9950,6.82770000
9960,6.96320000
9970,5.40770000
9980,6.23590000
9990,7.62780000
10000,5.79180000
10010,6.80490000
10020,4.35840000
10030,5.79300000
10040,5.49080000
10050,6.34830000
10060,4.51020000
10070,5.32970000
10080,4.62690000
10090,5.63950000
10100,5.11460000
10110,6.27040000
10120,4.87780000
10130,5.64390000
10140,5.83110000
10150,5.58500000
10160,4.37970000
10170,6.01950000
10180,7.68200000
10190,5.24030000
10200,6.03890000
10210,4.65430000
10220,4.99300000
10230,6.20840000
10240,6.49810000
10250,6.35300000
10260,4.78510000
10270,7.65810000
10280,4.86540000
10290,5.44580000
10300,4.56020000
10310,6.65060000
10320,5.33040000
10330,6.43210000
10340,6.49380000
10350,5.96370000
10360,5.91180000
10370,6.40540000
10380,5.84750000
10390,5.05280000
10400,6.95580000
10410,4.58440000
10420,5.34690000
10430,7.75090000
10440,5.86080000
10450,7.43850000
10460,7.67530000
10470,5.07320000
10480,4.86480000
10490,5.56510000
10500,4.89210000
10510,4.32840000
10520,5.53470000
10530,4.78390000
10540,4.85340000
10550,6.66180000
10560,5.23200000
10570,5.20660000
10580,5.96920000
10590,6.46960000
10600,5.37320000
10610,5.42000000
10620,5.72750000
10630,6.26110000
10640,5.80360000
10650,5.40520000
10660,5.86180000
10670,6.27260000
10680,5.04210000
10690,5.57390000
10700,4.96460000
10710,7.33940000
10720,7.33140000
10730,5.28960000
10740,6.32900000
10750,7.83880000
10760,5.70240000
10770,6.19460000
10780,5.87680000
10790,5.45340000
10800,5.19630000
10810,4.79900000
10820,4.72790000
10830,5.83700000
10840,4.74630000
10850,6.09780000
10860,3.48070000
10870,6.88740000
10880,5.90040000
10890,6.02740000
10900,6.21650000
10910,5.63380000
10920,6.20340000
10930,4.29520000
10940,5.74250000
10950,5.88570000
10960,5.25900000
10970,4.69850000
10980,5.01910000
10990,6.57640000
11000,6.33680000
11010,5.29370000
11020,3.59460000
11030,6.26200000
11040,5.46470000
11050,6.82670000
11060,7.15760000
11070,4.98340000
11080,5.61310000
11090,7.22930000
11100,5.68340000
11110,5.70370000
11120,7.02850000
11130,4.32430000
11140,4.87290000
11150,5.99970000
11160,4.60410000
11170,6.09980000
11180,4.44290000
11190,5.85020000
11200,6.30890000
11210,5.21470000
11220,4.86570000
11230,8.23580000
11240,6.75660000
11250,4.41080000
11260,5.91530000
11270,4.84610000
11280,5.66040000
11290,6.96220000
11300,6.23570000
11310,5.20890000
11320,5.14600000
11330,4.89480000
11340,5.57650000
11350,6.34450000
11360,4.30740000
11370,5.79370000
11380,5.69750000
11390,5.67850000
11400,5.71050000
11410,5.51710000
11420,6.06910000
11430,7.38330000
11440,6.20370000
11450,6.52940000
11460,6.01040000
11470,5.67000000
11480,5.35170000
11490,5.64570000
11500,5.26590000
11510,6.90070000
11520,6.36820000
11530,7.13160000
11540,6.05400000
11550,5.18840000
11560,5.55300000
11570,5.39480000
11580,6.40580000
11590,3.84190000
11600,5.67810000
11610,4.90710000
11620,6.48870000
11630,5.13490000
11640,6.43330000
11650,4.84410000
11660,4.42100000
11670,5.50850000
11680,6.06510000
11690,5.92330000
11700,5.00070000
11710,6.71810000
11720,5.24140000
11730,7.80820000
11740,6.41030000
11750,5.18560000
11760,5.85150000
11770,5.23220000
11780,5.84040000
11790,5.99140000
11800,5.60630000
11810,4.85580000
11820,4.28380000
11830,6.34110000
11840,4.49480000
11850,5.89240000
11860,4.62200000
11870,4.21260000
11880,5.27280000
11890,6.16130000
11900,5.42360000
11910,5.54590000
11920,5.23640000
11930,5.71400000
11940,5.66470000
11950,5.47320000
11960,4.60520000
11970,6.25530000
11980,7.18040000
11990,5.59790000
12000,5.81310000
12010,4.96800000
12020,5.92830000
12030,6.47980000
12040,6.44330000
12050,6.33010000
12060,5.75020000
12070,4.86360000
12080,5.90710000
12090,5.80380000
12100,4.96420000
12110,5.15760000
12120,5.56510000
12130,5.52760000
12140,4.13890000
12150,6.53540000
12160,5.52110000
12170,3.50180000
12180,5.84400000
12190,4.93860000
12200,4.94100000
12210,4.06170000
12220,4.97360000
12230,4.73830000
12240,5.81140000
12250,5.47680000
12260,7.25250000
12270,5.42520000
12280,3.85170000
12290,6.33290000
12300,6.62830000
12310,6.56600000
12320,4.28050000
12330,5.68020000
12340,4.92460000
12350,7.55990000
12360,5.08920000
12370,6.75020000
12380,3.32340000
12390,4.44120000
12400,4.97360000
12410,6.24890000
12420,6.33340000
12430,5.99140000
12440,5.03070000
12450,5.66870000
12460,5.50520000
12470,4.70680000
12480,6.08340000
12490,6.40420000
12500,5.21090000
12510,5.17120000
12520,6.59190000
12530,6.05600000
12540,5.71210000
12550,6.31070000
12560,6.59190000
12570,5.82710000
12580,6.91050000
12590,7.46610000
12600,5.23560000
12610,5.18640000
12620,5.80850000
12630,6.93550000
12640,4.68520000
12650,5.36190000
12660,4.75810000
12670,6.45750000
12680,5.95360000
12690,6.41830000
12700,5.72150000
12710,6.74460000
12720,5.46140000
12730,6.26320000
12740,4.92750000
12750,4.05660000
12760,6.79750000
12770,5.22940000
12780,6.28680000
12790,3.64130000
12800,5.35130000
12810,5.50880000
12820,5.77300000
12830,6.37420000
12840,5.95990000
12850,5.30650000
12860,6.09810000
12870,5.94400000
12880,5.62650000
12890,5.80890000
12900,5.48910000
12910,6.82760000
12920,5.12210000
12930,6.83000000
12940,5.16540000
12950,5.72720000
12960,7.65720000
12970,4.67620000
12980,5.75570000
12990,5.19340000
13000,6.14840000
13010,3.98750000
13020,6.24700000
13030,5.24950000
13040,6.61850000
13050,4.28480000
13060,6.03740000
13070,5.98260000
13080,5.36770000
13090,6.81120000
13100,5.91760000
13110,5.78460000
13120,5.47700000
13130,5.03210000
13140,5.96810000
13150,4.94980000
13160,6.34740000
13170,5.25810000
13180,5.94450000
13190,5.48870000
13200,5.54040000
13210,5.91110000
13220,6.23150000
13230,5.15410000
13240,5.51720000
13250,5.31020000
13260,5.93830000
13270,5.90270000
13280,5.55140000
13290,5.20060000
13300,4.60950000
13310,4.98390000
13320,5.88080000
13330,4.94240000
13340,6.62060000
13350,4.50160000
13360,4.85770000
13370,5.59240000
13380,5.21690000
13390,5.55980000
13400,3.81630000
13410,6.40700000
13420,6.24790000
13430,5.43570000
13440,7.24900000
13450,6.35470000
13460,4.81400000
13470,5.66890000
13480,4.65060000
13490,6.98730000
13500,5.26400000
13510,6.79050000
13520,6.26700000
13530,5.58690000
13540,4.69680000
13550,5.21610000
13560,4.91950000
13570,5.05830000
13580,5.36030000
13590,4.86920000
13600,4.44550000
13610,6.04440000
13620,5.48000000
13630,5.81780000
13640,5.31490000
13650,6.19530000
13660,5.92670000
13670,3.65320000
13680,6.07530000
13690,5.95550000
13700,6.27940000
13710,5.68170000
13720,5.97720000
13730,5.17410000
13740,4.94870000
13750,7.09450000
13760,5.57250000
13770,4.80870000
13780,6.33220000
13790,6.29170000
13800,6.34560000
13810,6.46190000
13820,5.89640000
13830,4.75130000
13840,5.91040000
13850,5.44750000
13860,6.54030000
13870,6.29110000
13880,5.57610000
13890,7.34930000
13900,4.87650000
13910,5.60340000
13920,5.09900000
13930,5.74820000
13940,5.88250000
13950,5.34100000
13960,5.80010000
13970,6.92920000
13980,6.08150000
13990,5.74340000
14000,4.79470000
14010,5.75470000
14020,5.71390000
14030,4.41470000
14040,6.04080000
14050,5.11100000
14060,5.20520000
14070,4.27780000
14080,5.66340000
14090,4.69510000
14100,5.01610000
14110,6.63420000
14120,6.12630000
14130,5.98600000
14140,6.80770000
14150,6.09690000
14160,4.98010000
14170,5.30800000
14180,5.92300000
14190,5.17030000
14200,7.21530000
14210,6.12200000
14220,4.08190000
14230,6.84970000
14240,5.46060000
14250,6.44360000
14260,4.98550000
14270,4.53030000
14280,4.88020000
14290,7.01270000
14300,5.80910000
14310,4.29810000
14320,5.90810000
14330,5.99470000
14340,5.23570000
14350,6.02130000
14360,6.25290000
14370,5.89870000
14380,5.23260000
14390,5.77610000
14400,5.58520000
14410,4.89320000
14420,5.26030000
14430,7.03010000
14440,5.09510000
14450,4.34200000
14460,5.04150000
14470,5.66470000
14480,6.01840000
14490,4.89070000
14500,5.44070000
14510,4.48750000
14520,6.12420000
14530,7.43210000
14540,6.29550000
14550,6.21890000
14560,4.80600000
14570,6.28160000
14580,6.52250000
14590,7.02740000
14600,5.28250000
14610,5.51820000
14620,5.22180000
14630,4.74820000
14640,5.54880000
14650,4.81350000
14660,4.10340000
14670,5.25560000
14680,6.50200000
14690,6.71810000
14700,5.36890000
14710,5.26060000
14720,6.88810000
14730,4.84620000
14740,4.94690000
14750,6.92000000
14760,6.28840000
14770,5.73110000
14780,4.90960000
14790,5.08970000
14800,5.67300000
14810,4.17680000
14820,5.15650000
14830,5.91130000
14840,6.02940000
14850,6.28200000
14860,5.91060000
14870,5.91350000
14880,5.39570000
14890,6.70320000
14900,4.95720000
14910,5.30200000
14920,4.97410000
14930,5.90060000
14940,5.32400000
14950,5.91450000
14960,5.86930000
14970,5.54010000
14980,5.87940000
14990,5.98470000
15000,5.61780000
15010,5.80810000
15020,4.69630000
15030,5.37000000
15040,5.98150000
15050,5.72580000
15060,4.69080000
15070,5.02530000
15080,5.32400000
15090,6.06040000
15100,6.29320000
15110,4.95440000
15120,5.28450000
15130,4.39430000
15140,5.77890000
15150,7.11580000
15160,4.47660000
15170,7.39550000
15180,7.20000000
15190,6.69770000
15200,6.40060000
15210,5.89130000
15220,5.30530000
15230,4.58970000
15240,5.96260000
15250,6.07210000
15260,4.80720000
15270,5.02700000
15280,4.36440000
15290,5.24300000
15300,6.21530000
15310,6.45740000
15320,4.90180000
15330,5.53650000
15340,6.10860000
15350,4.66790000
15360,5.36780000
15370,5.84400000
15380,4.76200000
15390,5.98330000
15400,6.64330000
15410,6.71260000
15420,4.89620000
15430,5.02660000
15440,4.59830000
15450,6.73990000
15460,5.80490000
15470,4.27190000
15480,4.39950000
15490,6.26280000
15500,5.48190000
15510,6.40080000
15520,5.70160000
15530,6.96950000
15540,4.77920000
15550,4.55120000
15560,5.40420000
15570,6.07530000
15580,4.94310000
15590,6.11400000
15600,4.77100000
15610,5.52520000
15620,4.69470000
15630,5.43910000
15640,5.16840000
